Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
95,5.6,2.7,4.2,1.3,Iris-versicolor
25,4.8,3.4,1.9,0.2,Iris-setosa
83,5.8,2.7,3.9,1.2,Iris-versicolor
146,6.7,3.0,5.2,2.3,Iris-virginica
40,5.1,3.4,1.5,0.2,Iris-setosa
19,5.7,3.8,1.7,0.3,Iris-setosa
18,5.1,3.5,1.4,0.3,Iris-setosa
4,4.6,3.1,1.5,0.2,Iris-setosa
86,6.0,3.4,4.5,1.6,Iris-versicolor
31,4.8,3.1,1.6,0.2,Iris-setosa
36,5.0,3.2,1.2,0.2,Iris-setosa
55,6.5,2.8,4.6,1.5,Iris-versicolor
141,6.7,3.1,5.6,2.4,Iris-virginica
93,5.8,2.6,4.0,1.2,Iris-versicolor
3,4.7,3.2,1.3,0.2,Iris-setosa
65,5.6,2.9,3.6,1.3,Iris-versicolor
147,6.3,2.5,5.0,1.9,Iris-virginica
150,5.9,3.0,5.1,1.8,Iris-virginica
35,4.9,3.1,1.5,0.1,Iris-setosa
1,5.1,3.5,1.4,0.2,Iris-setosa
11,5.4,3.7,1.5,0.2,Iris-setosa
8,5.0,3.4,1.5,0.2,Iris-setosa
100,5.7,2.8,4.1,1.3,Iris-versicolor
135,6.1,2.6,5.6,1.4,Iris-virginica
82,5.5,2.4,3.7,1.0,Iris-versicolor
72,6.1,2.8,4.0,1.3,Iris-versicolor
66,6.7,3.1,4.4,1.4,Iris-versicolor
57,6.3,3.3,4.7,1.6,Iris-versicolor
54,5.5,2.3,4.0,1.3,Iris-versicolor
6,5.4,3.9,1.7,0.4,Iris-setosa
74,6.1,2.8,4.7,1.2,Iris-versicolor
47,5.1,3.8,1.6,0.2,Iris-setosa
143,5.8,2.7,5.1,1.9,Iris-virginica
33,5.2,4.1,1.5,0.1,Iris-setosa
59,6.6,2.9,4.6,1.3,Iris-versicolor
17,5.4,3.9,1.3,0.4,Iris-setosa
133,6.4,2.8,5.6,2.2,Iris-virginica
81,5.5,2.4,3.8,1.1,Iris-versicolor
37,5.5,3.5,1.3,0.2,Iris-setosa
88,6.3,2.3,4.4,1.3,Iris-versicolor
89,5.6,3.0,4.1,1.3,Iris-versicolor
92,6.1,3.0,4.6,1.4,Iris-versicolor
96,5.7,3.0,4.2,1.2,Iris-versicolor
115,5.8,2.8,5.1,2.4,Iris-virginica
111,6.5,3.2,5.1,2.0,Iris-virginica
87,6.7,3.1,4.7,1.5,Iris-versicolor
48,4.6,3.2,1.4,0.2,Iris-setosa
7,4.6,3.4,1.4,0.3,Iris-setosa
13,4.8,3.0,1.4,0.1,Iris-setosa
112,6.4,2.7,5.3,1.9,Iris-virginica
126,7.2,3.2,6.0,1.8,Iris-virginica
23,4.6,3.6,1.0,0.2,Iris-setosa
105,6.5,3.0,5.8,2.2,Iris-virginica
52,6.4,3.2,4.5,1.5,Iris-versicolor
140,6.9,3.1,5.4,2.1,Iris-virginica
21,5.4,3.4,1.7,0.2,Iris-setosa
49,5.3,3.7,1.5,0.2,Iris-setosa
91,5.5,2.6,4.4,1.2,Iris-versicolor
67,5.6,3.0,4.5,1.5,Iris-versicolor
122,5.6,2.8,4.9,2.0,Iris-virginica
30,4.7,3.2,1.6,0.2,Iris-setosa
124,6.3,2.7,4.9,1.8,Iris-virginica
136,7.7,3.0,6.1,2.3,Iris-virginica
90,5.5,2.5,4.0,1.3,Iris-versicolor
39,4.4,3.0,1.3,0.2,Iris-setosa
20,5.1,3.8,1.5,0.3,Iris-setosa
129,6.4,2.8,5.6,2.1,Iris-virginica
107,4.9,2.5,4.5,1.7,Iris-virginica
42,4.5,2.3,1.3,0.3,Iris-setosa
137,6.3,3.4,5.6,2.4,Iris-virginica
78,6.7,3.0,5.0,1.7,Iris-versicolor
80,5.7,2.6,3.5,1.0,Iris-versicolor
79,6.0,2.9,4.5,1.5,Iris-versicolor
63,6.0,2.2,4.0,1.0,Iris-versicolor
149,6.2,3.4,5.4,2.3,Iris-virginica
75,6.4,2.9,4.3,1.3,Iris-versicolor
102,5.8,2.7,5.1,1.9,Iris-virginica
43,4.4,3.2,1.3,0.2,Iris-setosa
121,6.9,3.2,5.7,2.3,Iris-virginica
103,7.1,3.0,5.9,2.1,Iris-virginica
104,6.3,2.9,5.6,1.8,Iris-virginica
38,4.9,3.1,1.5,0.1,Iris-setosa
139,6.0,3.0,4.8,1.8,Iris-virginica
10,4.9,3.1,1.5,0.1,Iris-setosa
110,7.2,3.6,6.1,2.5,Iris-virginica
109,6.7,2.5,5.8,1.8,Iris-virginica
60,5.2,2.7,3.9,1.4,Iris-versicolor
114,5.7,2.5,5.0,2.0,Iris-virginica
44,5.0,3.5,1.6,0.6,Iris-setosa
148,6.5,3.0,5.2,2.0,Iris-virginica
84,6.0,2.7,5.1,1.6,Iris-versicolor
98,6.2,2.9,4.3,1.3,Iris-versicolor
142,6.9,3.1,5.1,2.3,Iris-virginica
76,6.6,3.0,4.4,1.4,Iris-versicolor
69,6.2,2.2,4.5,1.5,Iris-versicolor
41,5.0,3.5,1.3,0.3,Iris-setosa
97,5.7,2.9,4.2,1.3,Iris-versicolor
2,4.9,3.0,1.4,0.2,Iris-setosa
85,5.4,3.0,4.5,1.5,Iris-versicolor
117,6.5,3.0,5.5,1.8,Iris-virginica
132,7.9,3.8,6.4,2.0,Iris-virginica
144,6.8,3.2,5.9,2.3,Iris-virginica
28,5.2,3.5,1.5,0.2,Iris-setosa
51,7.0,3.2,4.7,1.4,Iris-versicolor
22,5.1,3.7,1.5,0.4,Iris-setosa
34,5.5,4.2,1.4,0.2,Iris-setosa
15,5.8,4.0,1.2,0.2,Iris-setosa
14,4.3,3.0,1.1,0.1,Iris-setosa
131,7.4,2.8,6.1,1.9,Iris-virginica
106,7.6,3.0,6.6,2.1,Iris-virginica
138,6.4,3.1,5.5,1.8,Iris-virginica
56,5.7,2.8,4.5,1.3,Iris-versicolor
116,6.4,3.2,5.3,2.3,Iris-virginica
58,4.9,2.4,3.3,1.0,Iris-versicolor
127,6.2,2.8,4.8,1.8,Iris-virginica
64,6.1,2.9,4.7,1.4,Iris-versicolor
101,6.3,3.3,6.0,2.5,Iris-virginica
145,6.7,3.3,5.7,2.5,Iris-virginica
46,4.8,3.0,1.4,0.3,Iris-setosa
12,4.8,3.4,1.6,0.2,Iris-setosa
